rxn00020_c,cellobiose glucohydrolase,cpd00001_c + cpd00158_c --> 2.0 cpd00190_c,PSPTO_4290,0,1000
rxn00025_c,"beta-Carotene:oxygen 15,15'-oxidoreductase (bond-cleaving)",cpd00007_c + cpd01420_c <=> 2.0 cpd00304_c,PSPTO_4235,-1000,1000
rxn00029_c,5-aminolevulinate hydro-lyase (adding 5-aminolevulinate and cyclizing; porphobilinogen-forming),2.0 cpd00338_c --> 2.0 cpd00001_c + cpd00067_c + cpd00689_c,PSPTO_5251,0,1000
rxn00048_c,"6,7-Dimethyl-8-(1-D-ribityl)lumazine:6,7-dimethyl-8-(1-D-ribityl)lumazine 2,3-butanediyltransferase",cpd00067_c + 2.0 cpd02656_c --> cpd00220_c + cpd02882_c,PSPTO_0691,0,1000
rxn00060_c,porphobilinogen:(4-[2-carboxyethyl]-3-[carboxymethyl]pyrrol-2-yl)methyltransferase (hydrolysing),cpd00001_c + 4.0 cpd00689_c --> 4.0 cpd00013_c + cpd00755_c,PSPTO_0128,0,1000
rxn00147_c,"ATP:pyruvate,water phosphotransferase",cpd00001_c + cpd00002_c + cpd00020_c --> cpd00009_c + cpd00018_c + cpd00061_c + 3.0 cpd00067_c,PSPTO_2292,0,1000
rxn00148_c,ATP:pyruvate 2-O-phosphotransferase,cpd00002_c + cpd00020_c <=> cpd00008_c + cpd00061_c + cpd00067_c,PSPTO_4337,-1000,1000
rxn00149_c,pyruvaldehyde:NAD+ oxidoreductase,cpd00001_c + cpd00003_c + cpd00428_c <=> cpd00004_c + cpd00020_c + 2.0 cpd00067_c,PSPTO_2680,-1000,1000
rxn00159_c,(S)-malate:NAD+ oxidoreductase (decarboxylating),cpd00003_c + cpd00130_c --> cpd00004_c + cpd00011_c + cpd00020_c,PSPTO_3924,0,1000
rxn00161_c,(S)-Malate:NADP+ oxidoreductase(oxaloacetate-decarboxylating),cpd00006_c + cpd00130_c --> cpd00005_c + cpd00011_c + cpd00020_c,PSPTO_5134,0,1000
rxn00165_c,L-serine ammonia-lyase,cpd00054_c --> cpd00013_c + cpd00020_c,(PSPTO_1886 and PSPTO_1886),0,1000
rxn00179_c,ATP:L-glutamate 5-phosphotransferase,cpd00002_c + cpd00023_c <=> cpd00008_c + cpd02097_c,PSPTO_0800,-1000,1000
rxn00182_c,L-glutamate:NAD+ oxidoreductase (deaminating),cpd00001_c + cpd00003_c + cpd00023_c <=> cpd00004_c + cpd00013_c + cpd00024_c + cpd00067_c,PSPTO_3757,-1000,1000
rxn00183_c,L-Glutamate 5-semialdehyde:NAD+ oxidoreductase,cpd00001_c + cpd00003_c + cpd00858_c --> cpd00004_c + cpd00023_c + 2.0 cpd00067_c,(PSPTO_1881 or PSPTO_3644),0,1000
rxn00187_c,L-Glutamate:ammonia ligase (ADP-forming),cpd00002_c + cpd00013_c + cpd00023_c --> cpd00008_c + cpd00009_c + cpd00053_c + cpd00067_c,PSPTO_0359,0,1000
rxn00189_c,L-Glutamine amidohydrolase,cpd00001_c + cpd00053_c --> cpd00013_c + cpd00023_c,PSPTO_2488,0,1000
rxn00192_c,acetyl-CoA:L-glutamate N-acetyltransferase,cpd00022_c + cpd00023_c --> cpd00010_c + cpd00067_c + cpd00477_c,PSTPO_0324,0,1000
rxn00193_c,glutamate racemase,cpd00023_c <=> cpd00186_c,PSPTO_1112,-1000,1000
rxn00224_c,protoheme ferro-lyase (protoporphyrin-forming),cpd01476_c + cpd10515_c <=> cpd00028_c + 2.0 cpd00067_c,PSPTO_1128,-1000,1000
rxn00256_c,acetyl-CoA:oxaloacetate C-acetyltransferase (thioester-hydrolysing),cpd00001_c + cpd00022_c + cpd00032_c --> cpd00010_c + cpd00067_c + cpd00137_c,PSPTO_2194,0,1000
rxn00260_c,L-Aspartate:2-oxoglutarate aminotransferase,cpd00024_c + cpd00041_c <=> cpd00023_c + cpd00032_c,PSPTO_2925,-1000,1000
